timestamp, power.draw [W], utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB], temperature.gpu
2022/11/10 18:04:19.946, 64.81 W, 100 %, 48 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:20.482, 35.07 W, 5 %, 4 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:20.987, 70.62 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:21.491, 67.03 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:21.995, 73.52 W, 100 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:22.502, 64.91 W, 100 %, 52 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:23.011, 34.67 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 55
2022/11/10 18:04:23.516, 71.79 W, 99 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:24.024, 65.11 W, 99 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:24.530, 73.86 W, 100 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:25.035, 65.11 W, 100 %, 48 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:25.542, 35.37 W, 4 %, 3 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:26.049, 69.39 W, 99 %, 70 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:26.555, 66.58 W, 99 %, 64 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:27.128, 70.32 W, 100 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:27.633, 69.09 W, 100 %, 52 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:28.138, 88.73 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 56
2022/11/10 18:04:28.643, 68.75 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:29.149, 70.72 W, 97 %, 62 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:29.656, 69.97 W, 100 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:30.166, 71.21 W, 100 %, 52 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:30.672, 97.89 W, 2 %, 1 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:31.177, 68.95 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:31.681, 68.40 W, 99 %, 64 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:32.190, 71.95 W, 100 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:32.699, 70.03 W, 100 %, 53 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:33.232, 93.67 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:33.739, 71.15 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:34.243, 65.69 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:34.748, 70.72 W, 100 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:35.252, 69.05 W, 100 %, 49 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:35.758, 60.01 W, 3 %, 3 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:36.324, 69.24 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:36.830, 70.96 W, 99 %, 64 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:37.334, 69.88 W, 100 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:37.842, 47.22 W, 100 %, 53 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:38.350, 68.99 W, 49 %, 38 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:38.858, 72.44 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:39.363, 70.91 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:39.868, 67.27 W, 100 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:40.375, 64.65 W, 100 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:40.882, 68.80 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 57
2022/11/10 18:04:41.390, 69.10 W, 99 %, 69 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:41.895, 68.25 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:42.402, 68.70 W, 100 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:42.908, 71.70 W, 100 %, 54 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:43.416, 71.70 W, 40 %, 34 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:43.921, 72.44 W, 99 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:44.427, 69.05 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:44.934, 68.99 W, 100 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:45.440, 71.30 W, 100 %, 63 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:45.989, 70.42 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:46.495, 69.09 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:46.999, 69.97 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:47.508, 69.19 W, 100 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:48.013, 62.19 W, 100 %, 53 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:48.519, 73.27 W, 27 %, 22 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:49.065, 68.94 W, 99 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:49.570, 72.97 W, 99 %, 63 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:50.075, 71.74 W, 100 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:50.583, 33.21 W, 100 %, 53 %, 15360 MiB, 8506 MiB, 6403 MiB, 58
2022/11/10 18:04:51.090, 55.12 W, 62 %, 47 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:51.597, 69.09 W, 99 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:52.101, 71.95 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:52.610, 68.26 W, 100 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:53.115, 35.37 W, 99 %, 71 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:53.624, 57.74 W, 3 %, 3 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:54.132, 68.40 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:54.647, 69.39 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:55.152, 69.58 W, 100 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:04:55.657, 52.10 W, 100 %, 52 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:56.163, 71.29 W, 35 %, 28 %, 15360 MiB, 8506 MiB, 6403 MiB, 59
2022/11/10 18:04:56.669, 71.26 W, 99 %, 68 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:04:57.173, 72.48 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:04:57.679, 69.93 W, 100 %, 66 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:04:58.184, 63.04 W, 100 %, 54 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:04:58.690, 72.14 W, 0 %, 0 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:04:59.195, 70.46 W, 99 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:04:59.701, 68.84 W, 99 %, 65 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:05:00.211, 70.72 W, 100 %, 67 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
2022/11/10 18:05:00.719, 63.53 W, 100 %, 48 %, 15360 MiB, 8506 MiB, 6403 MiB, 60
